"V1","V2","V3","V4","V5"
0,0,0.00447968606148894,0.0184058383527783,0.0923796228567254
0,0,0.00470697261399496,0.0232540605976987,0.0993988621499172
0,0,0.0061066047540373,0.0317153897496651,0.100051249083704
0,0,0.006740557809735,0.0340866573355145,0.10965079026947
0,0,0.00735379559179681,0.0355245020975048,0.112524592060934
0,0,0.0071910288769674,0.0377869795694063,0.118067770541889
0,0,0.00677630989225719,0.0376600972807353,0.115420872634479
0,0,0.008363222890509,0.042051660676212,0.115549983524062
0,0,0.0073038155199622,0.0369224396464139,0.114212658054956
0,0,0.00746714385084812,0.0351895806960643,0.109704372798148
0,0,0.00730172942232332,0.0348093655715664,0.108579673883959
0,0,0.00725620377644467,0.036560989321151,0.112445263641426
0,0,0.00644799769018971,0.0332299910009728,0.111055015855803
0,0,0.00712305033351038,0.0343513214515807,0.113514628041327
0,0,0.00717357176621883,0.0348133816680947,0.112754514698536
0,0,0.00658343788243534,0.0345331632962421,0.111559401110789
0,0,0.00665957111366253,0.0333503778427389,0.109226466570068
0,0,0.00679755157571412,0.0311719019753938,0.103147419375922
0,0,0.0102032122835222,0.0354870348775093,0.0986216227461779
0,0,0.010340269277712,0.0376386573641009,0.103350496350205
0,0,0.0095749790097776,0.0351290672367685,0.098132485730291
0,0,0.00868205973352174,0.0321375070222955,0.0953938809323159
0,0,0.00935102239327334,0.0309275553631523,0.0907101921971381
0,0,0.00825008651797691,0.0285870683027779,0.0913260240040423
0,0,0.00755465838519098,0.0286231675844558,0.0879425253241448
0,0,0.00893228434883104,0.0311837787778263,0.0913934221221228
0,0,0.00932186010096313,0.0311193521909835,0.0897141443124162
0,0,0.0096508217937955,0.0313871019401755,0.0878776533231553
0,0,0.00919624893517045,0.032819118820917,0.0912536527657999
0,0,0.00887986196413346,0.0318957734106706,0.0927272675609894
0,0,0.00956878798975175,0.0330136438420883,0.0932997032366527
0,0,0.0100713367590867,0.0351892920151785,0.0935558223693621
0,0,0.0114898362328016,0.0381167554977373,0.0976171054516545
0,0,0.0105227832518194,0.0382023617192583,0.0987569072574179
0,0,0.0123886109624433,0.0425538929858992,0.105922761620787
0,0,0.0146117731970971,0.0439094285517328,0.101420206471164
0,0,0.016081851826924,0.0455758949422748,0.103908425701674
0,0,0.0160165657915227,0.0462233511387873,0.0987702662461455
0,0,0.0140515361881257,0.0414670798462879,0.0949552609824319
0,0,0.0174825336270012,0.0459621815121437,0.098469044657863
0,0,0.0177266548046898,0.0459186993369062,0.097435945280831
0,0,0.0168072969518425,0.0443323414138901,0.0938988401787768
0,0,0.0179238073175865,0.0422154916260265,0.0854024795235801
0,0,0.0202547336955336,0.0447442185703495,0.0923838528219898
0,0,0.019168961272617,0.0423186174992517,0.0885812158950042
0,0,0.0201344546630814,0.0441829995272236,0.0932297701925353
0.00141035385007813,0,0.0198773812268455,0.0452937708656756,0.0939422693005937
0.00130797075159037,0,0.0232582481941772,0.0522816511148796,0.105255180241798
0.00203413232883848,0,0.0251464923311722,0.052807616437445,0.105390705490496
0.00215238467605988,2.76983427953743e-05,0.0255235301402402,0.0524147609470997,0.103668304412961
0.000218242105300181,0.0033342623245916,0.0260467293575488,0.0531316215163801,0.103177247389662
0.000771131864084794,0.00382863342439844,0.0284164619460557,0.0568138266483908,0.108584690359367
0.000979705896267578,0.00474132233685773,0.031068588801615,0.0572670014631406,0.1085777087155
